Dosage,Hardness,Cohesiveness,Distance1,Distance2,Springiness,Area1,Area2,Area3,Area4,Gumminess,Chewiness,Resilience,Gel Strength
0,6598.426,0.288056724,16.587,8.925,0.538071984,68130.329,19625.399,61582.843,6547.486,1900.720977,1022.724708,0.10631997,109448.0921
0,5340.649,0.263349685,16.757,7.935,0.473533449,55196.364,14535.945,51058.779,4137.585,1406.458234,666.0050182,0.081035728,89493.25529
0,5830.99,0.300393594,16.289,7.915,0.485910737,54893.371,16489.617,49846.746,5046.625,1751.592045,851.1173821,0.101242828,94980.99611
0.1,4811.556,0.294332562,18.374,7.970,0.433765103,50088.450,14742.662,45330.460,4757.990,1416.197687,614.2971354,0.104962325,88407.53507
0.1,4374.906,0.274470084,18.824,8.145,0.432692308,49410.421,13561.682,45032.771,4377.650,1200.780832,519.5686293,0.097210308,82353.23164
0.1,4092.093,0.237940743,19.474,8.430,0.432884872,50768.995,12080.012,39336.207,11432.788,973.6756611,421.4894641,0.290642864,79689.41995
0.1,4021.827,0.275526257,16.994,7.040,0.414263858,39124.435,10779.809,35920.235,3204.200,1108.119076,459.0536833,0.089203193,68346.9364
0.5,6401.052,0.303750069,16.290,9.370,0.575199509,63774.132,19371.397,57521.748,6252.384,1944.319922,1118.371864,0.108696004,104273.1336
0.5,4723.316,0.246812952,17.297,8.050,0.465398624,52489.648,12955.125,48653.987,3835.661,1165.775521,542.5503233,0.078835482,81699.19369
0.5,6791.014,0.327182888,15.872,9.280,0.584677419,61440.378,20102.240,55251.684,6188.695,2221.903551,1299.096834,0.112009158,107786.9732
0.5,5429.473,0.301583365,15.880,8.225,0.517947103,48088.183,14502.596,43661.687,4426.495,1637.438721,848.1066422,0.10138168,86220.03045
1,5302.481,0.309037526,16.404,8.700,0.530358449,50258.289,15531.697,45758.292,4499.997,1638.66573,869.080215,0.098342775,86981.90467
1,4899.797,0.278263182,16.002,7.815,0.488376453,47454.062,13204.718,43731.928,3722.133,1363.433032,665.8685882,0.085112488,78406.54744
1,4620.835,0.287662545,16.299,7.300,0.447880238,42433.292,12206.469,39023.904,3409.388,1329.2413,595.3409099,0.08736667,75314.9977
1,5609.455,0.335779912,16.050,8.215,0.511838006,49493.688,16618.986,44845.612,4648.076,1883.542466,964.0686204,0.103646178,90031.76044
